nom site;Polluant;valeur brute;Latitude;Longitude
IFS Caen sud;PM10;15.894905213270118;49.15167;-0.352778
Lisieux;PM10;15.833596746077896;49.147224;0.227222
Alençon Météo-France;PM10;13.555704615384636;48.445553;0.110833
cherbourg doumer;PM10;17.678178873076483;49.63639;-1.626667
Cherbourg port charb;PM10;20.44162224797223;49.64695;-1.59342
Cherbourg Hotel de Ville;PM10;19.40970775095299;49.64225;-1.624361
Saint-Lô Eglise;PM10;15.72366279069777;49.11639;-1.084722
La Coulonche MERA;PM10;11.578835425383543;48.645;-0.458333
Moult proximité;PM10;13.832545071411856;49.117196;-0.169666
Ecole de Carling(9);PM10;15.604995309568524;49.165726;6.716886
SCHOENECK (19);PM10;15.840909618285183;49.220364;6.925833
SARREGUEMINES;PM10;13.86879606879607;49.118343;7.083539
Station de FORBACH;PM10;17.213225844140656;49.18742;6.910867
FROSSAY;PM10;13.3899624324959;47.24747;-1.936619
S ETIENNE DE MONTLUC;PM10;12.75553058085884;47.28318;-1.783164
SAINT EXUPERY;PM10;17.18109522148599;47.054443;-0.886111
LA CHAUVINIERE;PM10;15.326355671323736;47.252777;-1.573333
LEON BLUM;PM10;17.235318791946405;47.26412;-2.249858
BEAUX ARTS;PM10;15.761889855072445;47.468513;-0.556053
MAZAGRAN;PM10;14.799307878648056;48.06943;-0.767692
LA TARDIERE;PM10;11.94243507267095;46.656685;-0.743681
VICTOR HUGO;PM10;19.329399976423478;47.204356;-1.552914
DELACROIX;PM10;15.310461574507967;46.6607;-1.436831
SAINT-DENIS D'ANJOU;PM10;15.318863930377475;47.78773;-0.444044
PARSCAU DU PLESSIS;PM10;15.201750495973794;47.319157;-2.066953
SOURCES;PM10;15.105645067810329;47.971066;0.221422
CIM BOUTEILLERIE;PM10;17.104570895522397;47.2225;-1.5375
LEVOYER;PM10;18.598789030036816;47.1941472;-1.581677778
LES COUETS;PM10;17.95583565628404;47.1859194;-1.59149722222222
CANNES BROUSSAILLES;PM10;21.909964794122182;43.558389;7.005919
MANOSQUE;PM10;13.37664567830566;43.835784;5.786131
PEILLON;PM10;21.5902531796029;43.786583;7.373283
CONTES 2;PM10;27.295600154380566;43.788748;7.332382
GAP COMMANDERIE;PM10;18.328734810578958;44.555193;6.073015
NICE PROMENADE;PM10;29.857559241706156;43.689291;7.242074
NICE ARSON;PM10;19.99137586652572;43.702075;7.286256
GAP JEAN JAURES;PM10;16.9533096655978;44.548647;6.067237
Obs Haute-Provence;PM10;10.244561362024118;43.933476;5.711809
Gd Couronne Mairie;PM10;16.5735548764961;49.358215;1.007853
Espace du Palais;PM10;17.216861745277665;49.442358;1.093789
Evreux Centre;PM10;15.53432178158863;49.02134;1.148319
Phare d Ailly;PM10;15.495708406819505;49.916363;0.957178
Petit Quevilly;PM10;18.750185873605957;49.42815;1.058025
