Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;discriminant;Réglementaire;type d'évaluation;procédure de mesure;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04143;PARIS Centre;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;32.0;32.39911392405059;µg-m3;99.0;73;72.0;N;-1;48.859001;2.351
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04149;MONTGERON;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;22.0;21.79821346770496;µg-m3;100.0;100;100.0;R;1;48.7067;2.4572
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04150;LA DEFENSE;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;31.0;30.636292638107278;µg-m3;99.0;100;99.0;R;1;48.891388;2.240556
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04156;BOBIGNY;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;28.0;28.03613396004715;µg-m3;98.0;99;97.0;R;1;48.902504;2.4525
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04179;PARIS Stade Lenglen;Urbaine;NO2;Fond;2;Oui;mesures fixes;;Moy. annuelle;26.0;25.51278116213677;µg-m3;98.0;99;97.0;R;1;48.830387;2.269889
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04180;RN20 - MONTLHERY;Périurbaine;NO2;Trafic;;Oui;mesures fixes;;Moy. annuelle;61.0;60.64236641221387;µg-m3;99.0;100;99.0;R;1;48.64093;2.26872
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04319;TREMBLAY-EN-FRANCE;Périurbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;27.0;27.13916841369676;µg-m3;98.0;100;98.0;R;1;48.95555;2.575278
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04323;EVRY;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;24.0;23.753816189896536;µg-m3;94.0;100;94.0;R;1;48.62722;2.429167
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04328;Zone Rurale SE;Rurale régionale;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;5.0;5.4081835162269405;µg-m3;98.0;100;98.0;R;1;48.3547;2.6453
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04329;Bld peripherique Est;Urbaine;NO2;Trafic;;Oui;mesures fixes;;Moy. annuelle;61.0;60.64558620689651;µg-m3;99.0;100;99.0;R;1;48.838615;2.412781
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05078;Le Havre Massillon;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;18.0;17.53106461255455;µg-m3;100.0;100;99.0;R;1;49.4983;0.142706
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05083;Gonfreville l Orcher;Urbaine;NO2;Industrielle;;Oui;mesures fixes;;Moy. annuelle;14.0;13.589544549818541;µg-m3;98.0;100;98.0;R;1;49.50273;0.232486
